A00,Cholera
B66.1,Clonorchiasis
B66.2,Dicroceliasis
B66.3,Fascioliasis
B66.4,Paragonimiasis
B66.5,Fasciolopsiasis
B66.8,Echinostomiasis
B66.8,Heterophyiasis
B66.8,Metagonimiasis
B66.8,Nanophyetiasis
B66.8,Watsoniasis
B67,Echinococcosis
B68,Taeniasis
B69,Cysticercosis
B70.0,Diphyllobothriasis
B70.1,Sparganosis
B70.1,Spirometrosis
B71.0,Hymenolepiasis
B71.1,Dipylidiasis
B71.8,Coenurosis
B72,Dracunculiasis
B73,Onchocerciasis
B73,Onchocercosis
B74,Filariasis
B74.3,Loiasis
B74.4,Mansonelliasis
B74.8,Dirofilariasis
B75,Trichinellosis
B75,trichiniasis
B76.0,Ancylostomiasis
B76.1,Necatoriasis
B77,Ascariasis
B78,Strongyloidiasis
B79,Trichuriasis
B80,Enterobiasis
B81.0,Anisakiasis
B81.2,Trichostrongyliasis
B83.0,Toxocariasis
B83.1,Gnathostomiasis
B83.3,Syngamiasis
B83.3,Syngamosis
B83.8,Acanthocephaliasis
B83.8,Gongylonemiasis
B83.8,Metastrongyliasis
B83.8,Thelaziasis
B85.3,Phthiriasis
B86,Scabies
B87,Myiasis
B88.0,Trombiculosis
B88.2,Scarabiasis
B88.8,Linguatulosis
B88.8,Porocephaliasis
C22.0,Hepatoma
C22.1,Cholangiocarcinoma
C22.2,Hepatoblastoma
C45,Mesothelioma
C90.0,Myelomatosis
C92.3,Chloroma
C93.1,CMML-1
C93.1,CMML-2
C94.0,Erythroleukemia
C96.9,erythroplasia
D18.0,Hemangioma
D46.1,RARS
D47.4,Osteomyelofibrosis
D55.0,Favism
D56,Thalassemia
B55.0,Kala-azar
D57.40,Microdrepanocytosis
D58.8,Stomatocytosis
D61.81,Pancytopenia
D61.82,Myelophthisis
D61.82,Panmyelophthisis
D68.0,Angiohemophilia
D68.2,Hypoproconvertinemia
D68.318,Antithromboplastinemia
D68.318,Antithromboplastinogenemia
D68.32,Hyperheparinemia
D69.1,Thrombocytopathy
D69.51,PTP
D70,Neutropenia
D72.1,Eosinophilia
D72.810,Lymphocytopenia
D72.818,Monocytopenia
D72.818,Plasmacytopenia
D72.819,Leukopenia
D72.822,Plasmacytosis
D72.824,Basophilia
D72.825,Bandemia
D73.0,Hyposplenism
D73.1,Hypersplenism
D73.89,Perisplenitis
D74,Methemoglobinemia
D75.81,Myelofibrosis
D76.3,Xanthogranuloma
D78.89,sarcoidosis
D86,Sarcoidosis
D89.1,Cryoglobulinemia
E06,Thyroiditis
E16.4,Hypergastrinemia
E20,Hypoparathyroidism
E20.1,Pseudohypoparathyroidism
E22.1,Hyperprolactinemia
E23.0,Hypopituitarism
E23.0,Panhypopituitarism
E26,Hyperaldosteronism
E27.40,Hypoaldosteronism
E34.8,Progeria
E40,Kwashiorkor
E50.8,Xeroderma
E51.1,Beriberi
E53.0,Ariboflavinosis
E54,Scurvy
E66.3,Overweight
E67.1,Hypercarotinemia
E70.21,Tyrosinemia
E70.21,Hypertyrosinemia
E70.29,Alkaptonuria
E70.29,Ochronosis
E70.3,Albinism
E70.39,Piebaldism
E70.41,Histidinemia
E71.19,Hyperleucine-isoleucinemia
E71.19,Hypervalinemia
E71.310,LCAD
E71.310,VLCAD
E71.311,MCAD
E71.312,SCAD
E71.522,Adrenomyeloneuropathy
E72.01,Cystinuria
E72.04,Cystinosis
E72.11,Homocystinuria
E72.19,Cystathioninuria
E72.19,Methioninemia
E72.20,Hyperammonemia
E72.21,Argininemia
E72.23,Citrullinemia
E72.3,Hydroxylysinemia
E72.3,Hyperlysinemia
E72.52,Trimethylaminuria
E72.53,Hyperoxaluria
E72.53,Oxalosis
E72.53,Oxaluria
E72.59,D-glycericacidemia
E72.59,Hyperhydroxyprolinemia
E72.59,Sarcosinemia
E74.12,Fructosemia
E74.21,Galactosemia
E77.1,Aspartylglucosaminuria
E77.1,Fucosidosis
E77.1,Mannosidosis
E78.0,Hyperbetalipoproteinemia
E78.1,Hyperprebetalipoproteinemia
E78.3,Hyperchylomicronemia
E78.6,Abetalipoproteinemia
E78.6,Hypoalphalipoproteinemia
E83.11,Hemochromatosis
E83.39,Hypophosphatasia
E83.41,Hypermagnesemia
E83.42,Hypomagnesemia
E83.51,Hypocalcemia
E83.52,Hypercalcemia
E85,Amyloidosis
E86.0,Dehydration
E86.1,Hypovolemia
E87.2,Acidosis
E87.3,Alkalosis
E87.5,Hyperkalemia
E87.6,Hypokalemia
E87.71,TACO
E87.8,Hyperchloremia
E87.8,Hypochloremia
E88.09,Bisalbuminemia
F05,Sundowning
F15,caffeine
F16,PCP
F16,phencyclidine
F20,Schizophrenia
F20.1,Hebephrenia
F22,Paranoia
F30.8,Hypomania
F34.0,Cyclothymia
F34.1,Dysthymia
F40.0,Agoraphobia
F40.1,Anthropophobia
F40.210,Arachnophobia
F40.240,Claustrophobia
F40.241,Acrophobia
F40.290,Androphobia
F40.291,Gynephobia
F44,hysteria
F45.21,Hypochondriasis
F45.22,Nosophobia
F48.8,Neurasthenia
F48.8,Psychasthenia
F52.22,Frigidity
F52.8,Nymphomania
F52.8,Satyriasis
F63.1,Pyromania
F63.2,Kleptomania
F63.3,Trichotillomania
F64.1,Transsexualism
F65,Paraphilias
F65.0,Fetishism
F65.2,Exhibitionism
F65.3,Voyeurism
F65.4,Pedophilia
F65.5,Sadomasochism
F65.81,Frotteurism
F65.89,Necrophilia
F80.0,Dyslalia
F80.0,Lalling
F80.0,Lisping
F98.8,Nail-biting
F98.8,Nose-picking
F98.8,Thumb-sucking
G04,meningoencephalitis
G04,meningomyelitis
G20,Hemiparkinsonism
G24,Dystonia
G24.5,Blepharospasm
G25.3,Myoclonus
G43,Migraine
G45.9,TIA
G47.0,Insomnia
G47.1,Hypersomnia
G47.41,Narcolepsy
G47.5,Parasomnia
G71.19,Pseudomyotonia
G82.2,Paraplegia
G82.5,Quadriplegia
G91,Hydrocephalus
G95.19,Hematomyelia
H00.01,Stye
H00.1,Chalazion
H01.0,Blepharitis
H02.2,Lagophthalmos
H02.3,Blepharochalasis
H02.3,Pseudoptosis
H02.52,Blepharophimosis
H02.52,Ankyloblepharon
H04.0,Dacryoadenitis
H04.11,Dacryops
H04.2,Epiphora
H04.51,Dacryolith
H05.4,Enophthalmos
H10,Conjunctivitis
H10.5,Blepharoconjunctivitis
H10.81,Pingueculitis
H11.15,Pinguecula
H11.23,Symblepharon
H11.82,Conjunctivochalasis
H15.0,Scleritis
H15.03,Sclerotenonitis
H15.1,Episcleritis
H16,Keratitis
H16.13,Photokeratitis
H16.2,Keratoconjunctivitis
H18.06,Hematocornea
H18.44,Keratomalacia
H18.6,Keratoconus
H18.73,Descemetocele
H20,Iridocyclitis
H20.05,Hypopyon
H21.0,Hyphema
H21.25,Iridoschisis
H21.52,Goniosynechiae
H21.53,Iridodialysis
H27.0,Aphakia
H31.21,Choroideremia
H40,Glaucoma
H44.11,Panuveitis
H44.31,Chalcosis
H44.53,Leucocoria
H44.81,Hemophthalmos
H47.1,Papilledema
H50.0,Esotropia
H50.1,Exotropia
H50.2,Hypertropia
H50.41,Cyclotropia
H50.5,Heterophoria
H50.51,Esophoria
H50.52,Exophoria
H50.54,Cyclophoria
H52.0,Hypermetropia
H52.1,Myopia
H52.2,Astigmatism
H52.31,Anisometropia
H52.32,Aniseikonia
H52.4,Presbyopia
H53.11,Hemeralopia
H53.14,Asthenopia
H53.14,Photophobia
H53.15,Metamorphopsia
H53.2,Diplopia
H53.51,Achromatopsia
H53.53,Deuteranomaly
H53.53,Deuteranopia
H53.54,Protanomaly
H53.54,Protanopia
H53.55,Tritanomaly
H53.55,Tritanopia
H55.0,Nystagmus
H57.02,Anisocoria
H57.03,Miosis
H57.04,Mydriasis
H70.2,Petrositis
H74.0,Tympanosclerosis
H80,Otosclerosis
H83.0,Labyrinthitis
H91.1,Presbycusis
H91.1,Presbyacusia
H92.0,Otalgia
H92.1,Otorrhea
H92.2,Otorrhagia
H93.1,Tinnitus
H93.22,Diplacusis
H93.23,Hyperacusis
D70,agranulocytosis
I12,nephrosclerosis
I20.8,Stenocardia
I30.1,Pneumopyopericardium
I30.1,Pyopericarditis
I30.1,Pyopericardium
I30.1,Pyopneumopericardium
I31.3,Chylopericardium
I42,Cardiomyopathy
I42.4,Elastomyofibrosis
I70,arteriolosclerosis
I49.49,Extrasystoles
I51.7,Cardiomegaly
B77,ascaridiasis
I67.83,PRES
I70,Atherosclerosis
I70,arteriosclerosis
I70,atheroma
B44,aspergilloma
I73.81,Erythromelalgia
I73.89,Acrocyanosis
I73.89,Erythrocyanosis
I75,Atheroembolism
I80,periphlebitis
I86.1,Varicocele
I87.8,Phlebosclerosis
I87.8,Venofibrosis
I88.1,Adenitis
I88.1,Lymphadenitis
I89.0,Lymphangiectasis
I89.1,Lymphangitis
I95,Hypotension
I96,gangrene
J30.1,Pollinosis
J31.0,Ozena
J34.89,Rhinolith
J35.8,Amygdalolith
J36,quinsy
J38.0,Laryngoplegia
J43,Emphysema
J45,Asthma
J47,Bronchiectasis
J60,Anthracosilicosis
J60,Anthracosis
J61,Asbestosis
J63.2,Berylliosis
J63.4,Siderosis
J63.5,Stannosis
J65,Silicotuberculosis
J66.0,Byssinosis
J66.2,Cannabinosis
J67.1,Bagassosis
J67.3,Suberosis
J67.6,Cryptostromosis
J67.8,Sequoiosis
J84.81,Lymphangioleiomyomatosis
J84.81,Lymphangiomyomatosis
J86,Pyothorax
J86.9,Pyopneumothorax
A66,bouba
J94.1,Fibrothorax
J94.2,Hemothorax
J94.2,Hemopneumothorax
J94.8,Hydropneumothorax
J94.8,Hydrothorax
J98.09,Broncholithiasis
J98.11,Atelectasis
J98.4,Pulmolithiasis
J98.5,Mediastinitis
J98.6,Diaphragmatitis
K00.0,Anodontia
K00.0,Hypodontia
K00.0,Oligodontia
K00.1,Distomolar
K00.1,Mesiodens
K00.1,Paramolar
K00.2,Macrodontia
K00.2,Microdontia
K00.2,Taurodontism
K03.4,Hypercementosis
K04.0,Pulpitis
K04.2,Denticles
K05.4,Periodontosis
K11.2,Sialoadenitis
K11.2,Parotitis
K11.5,Sialolithiasis
K11.6,Ranula
K11.7,Hypoptyalism
K11.7,Ptyalism
K11.7,Xerostomia
K11.8,Sialectasia
K13.0,Cheilodynia
K13.0,Cheilosis
K14.0,Glossitis
K14.6,Glossodynia
K14.6,Glossopyrosis
K14.8,Glossocele
K14.8,Glossoptosis
K20,Esophagitis
K22.0,Cardiospasm
J47,bronchiolectasis
K40,bubonocele
V85,bulldozer
K29.8,Duodenitis
K30,Indigestion
K31.83,Achlorhydria
K31.84,Gastroparesis
K31.84,Gastroparalysis
B37,candidosis
K46,epiplocele
Q37,cheilopalatoschisis
Q36,cheiloschisis
K56.1,Intussusception
K56.2,Volvulus
K59.0,Constipation
K63.4,Enteroptosis
K65,Peritonitis
K65.3,Choleperitonitis
K66.1,Hemoperitoneum
K75.1,Pylephlebitis
K76.89,Hepatoptosis
K80,Cholelithiasis
K81,Cholecystitis
K81.0,Angiocholecystitis
K83.0,Cholangitis
K91.850,Pouchitis
K92.0,Hematemesis
K92.1,Melena
L01,Impetigo
L01.0,Impetigo
L03.0,Onychia
L03.0,Paronychia
L03.0,Perionychia
L03.01,Felon
L03.01,Whitlow
L08.0,Pyoderma
L08.1,Erythrasma
L10,Pemphigus
L12,Pemphigoid
L29,Pruritus
L30.2,Dermatophytid
L30.2,Eczematid
L40,Psoriasis
L41,Parapsoriasis
L50,Urticaria
L55,Sunburn
L58,Radiodermatitis
L60.1,Onycholysis
L60.2,Onychogryphosis
L63.2,Ophiasis
L66.0,Pseudopelade
L67.1,Canities
L68,Hypertrichosis
L68.0,Hirsutism
L68.3,Polytrichia
L70,Acne
L71,Rosacea
L71.1,Rhinophyma
L74.4,Anhidrosis
L74.4,Hypohidrosis
L75.0,Bromhidrosis
L75.1,Chromhidrosis
L80,Vitiligo
L81.1,Chloasma
L81.2,Freckles
L81.4,Lentigo
L84,Callus
L84,Clavus
L90.5,Cicatrix
L91.0,Keloid
L94.3,Sclerodactyly
L94.6,Ainhum
M10,Gout
M10,Podagra
M15,Polyosteoarthritis
M20.1,Bunion
M25.0,Hemarthrosis
M25.7,Osteophyte
M26.05,Macrogenia
M26.06,Microgenia
M26.211,Neutro-occlusion
M26.213,Mesio-occlusion
M27.8,Cherubism
M27.8,Exostosis
M33,Dermatopolymyositis
M33.2,Polymyositis
M41,Scoliosis
M43.0,Spondylolysis
M43.1,Spondylolisthesis
M43.6,Torticollis
M47,Spondylosis
M53.3,Coccygodynia
M54,Dorsalgia
M54.1,Radiculopathy
M54.2,Cervicalgia
M54.3,Sciatica
M60,Myositis
M62.82,Rhabdomyolysis
M62.831,Charley-horse
M67.4,Ganglion
M77.4,Metatarsalgia
M79.1,Myalgia
M79.7,Fibromyalgia
M79.7,Fibromyositis
M79.7,Fibrositis
M79.7,Myofibrositis
M79.89,Polyalgia
M86,Osteomyelitis
M87,Osteonecrosis
M89.0,Algoneurodystrophy
M89.4,Pachydermoperiostosis
M89.5,Osteolysis
M91.3,Pseudocoxalgia
M94.0,Costochondritis
M94.2,Chondromalacia
M94.3,Chondrolysis
N08,Glomerulonephritis
N08,Nephritis
N08,Nephropathy
N13.4,Hydroureter
N13.6,Pyonephrosis
N13.7,Vesicoureteral-reflux
G24,dyskinesia
N16,Pyelonephritis
F16,ecstasy
N28.82,Megaloureter
N28.83,Nephroptosis
N30,Cystitis
N30.3,Trigonitis
N30.3,Urethrotrigonitis
N40,BPH
N41.3,Prostatocystitis
N45.1,Epididymitis
N45.2,Orchitis
N45.3,Epididymo-orchitis
N46.0,Azoospermia
N46.1,Oligospermia
N47.1,Phimosis
N47.2,Paraphimosis
N47.6,Balanoposthitis
N48.1,Balanitis
N48.3,Priapism
N49.1,Vasitis
I80,endophlebitis
K46,enterocele
N62,Gynecomastia
N64.4,Mastodynia
N64.82,Micromastia
N64.89,Galactocele
N70,pyosalpinx
N70,salpingo-oophoritis
N70.1,Hydrosalpinx
N71,metritis
N71,myometritis
N71,pyometra
N75.8,Bartholinitis
N80,Endometriosis
N80.0,Adenomyosis
N81.0,Urethrocele
N81.1,Cystocele
N81.1,Cystourethrocele
N81.6,Rectocele
N81.81,Perineocele
N83.6,Hematosalpinx
N85.7,Hematometra
N89.7,Hematocolpos
N92.0,Polymenorrhea
N92.1,Menometrorrhagia
N92.1,Metrorrhagia
N94.0,Mittelschmerz
N94.1,Dyspareunia
N94.2,Vaginismus
N94.81,Vulvodynia
O14,Pre-eclampsia
O15,Eclampsia
B35,favus
O40,Polyhydramnios
O41.0,Oligohydramnios
O41.12,Chorioamnionitis
O41.14,Placentitis
O92.3,Agalactia
O92.4,Hypogalactia
O92.6,Galactorrhea
P57,Kernicterus
X83.8,homicide
B67,hydatidosis
P95,Stillbirth
Q00.0,Anencephaly
Q00.0,Acephaly
Q00.0,Acrania
Q00.0,Amyelencephaly
Q00.0,Hemianencephaly
Q00.0,Hemicephaly
Q00.1,Craniorachischisis
Q00.2,Iniencephaly
Q01,Encephalocele
O40,hydramnios
Q01,encephalocystocele
Q01,encephalomyelocele
Q01,hydroencephalocele
Q01,meningoencephalocele
Q02,Microcephaly
Q02,micrencephalon
Q04.1,Arhinencephaly
Q04.2,Holoprosencephaly
Q04.3,Agyria
Q04.3,Hydranencephaly
Q04.3,Lissencephaly
Q04.3,Microgyria
Q04.3,Pachygyria
Q04.5,Megalencephaly
Q04.6,Porencephaly
Q04.6,Schizencephaly
Q04.8,Macrogyria
Q05,meningomyelocele
Q05,myelocele
Q05,myelomeningocele
Q05,rachischisis
Q05,syringomyelocele
Q06.0,Amyelia
Q06.1,Atelomyelia
Q06.1,Myelatelia
Q06.2,Diastematomyelia
Q06.4,Hydromyelia
Q06.4,Hydrorachis
Q10.3,Ablepharon
Q11.2,Microphthalmos
Q11.3,Macrophthalmos
Q12.4,Spherophakia
Q12.8,Microphakia
Q13.1,Aniridia
Q13.2,Corectopia
Q13.4,Microcornea
Q15.0,Buphthalmos
Q15.0,Hydrophthalmos
Q17.0,Polyotia
Q17.1,Macrotia
Q17.2,Microtia
Q18.2,Otocephaly
Q18.4,Macrostomia
Q18.5,Microstomia
Q18.6,Macrocheilia
Q18.7,Microcheilia
Q20.5,Levotransposition
Q24.0,Dextrocardia
Q24.1,Levocardia
Q31.3,Laryngocele
Q02,hydromicrocephaly
Q35,palatoschisis
Q36,harelip
Q38.1,Ankyloglossia
Q38.2,Macroglossia
Q38.3,Aglossia
Q38.3,Hypoglossia
Q38.3,Microglossia
Q40.2,Megalogastria
Q40.2,Microgastria
Q43.1,Aganglionosis
Q43.8,Dolichocolon
Q43.8,Megaloappendix
Q43.8,Megaloduodenum
Q43.8,Microcolon
Q54,Hypospadias
Q55.0,Monorchism
Q55.21,Polyorchism
Q55.62,Micropenis
Q56.0,Ovotestis
Q61.5,Nephronopthisis
Q62.32,Cecoureterocele
Q64.0,Epispadias
Q67.2,Dolichocephaly
Q67.3,Plagiocephaly
Q69,Polydactyly
Q70,Syndactyly
Q75.0,Craniosynostosis
Q75.0,Acrocephaly
Q75.0,Oxycephaly
Q75.0,Trigonocephaly
Q75.2,Hypertelorism
Q75.3,Macrocephaly
Q75.8,Platybasia
Q77.0,Achondrogenesis
Q77.0,Hypochondrogenesis
Q77.4,Achondroplasia
Q77.4,Hypochondroplasia
Q78.0,Osteopsathyrosis
Q78.2,Osteopetrosis
Q78.4,Enchondromatosis
Q78.8,Osteopoikilosis
Q79.2,Exomphalos
Q79.2,Omphalocele
Q79.3,Gastroschisis
Q82.2,Mastocytosis
Q84.1,Monilethrix
Q84.3,Anonychia
Q84.5,Pachyonychia
Q85.03,Schwannomatosis
Q85.1,Epiloia
Q87.0,Acrocephalopolysyndactyly
Q87.0,Cyclopia
Q89.4,Craniopagus
Q89.4,Dicephaly
Q89.4,Pygopagus
Q89.4,Thoracopagus
R00.2,Palpitations
R04.0,Epistaxis
R04.0,Nosebleed
R04.2,Hemoptysis
R04.81,AIPHI
R05,Cough
R06.0,Dyspnea
R06.01,Orthopnea
R06.1,Stridor
R06.2,Wheezing
R06.4,Hyperventilation
R06.6,Hiccough
R06.7,Sneezing
R06.83,Snoring
R06.89,Sighing
R07.81,Pleurodynia
R09.01,Asphyxia
R09.02,Hypoxemia
R09.1,Pleurisy
R09.89,Rales
R10.13,Dyspepsia
R10.83,Colic
R11.0,Nausea
R11.1,Vomiting
R12,Heartburn
R13.0,Aphagia
R13.1,Dysphagia
R14.0,Bloating
R14.2,Eructation
R14.3,Flatulence
R18,Ascites
R19.2,Hyperperistalsis
R19.6,Halitosis
R20.2,Formication
R20.3,Hyperesthesia
R23.0,Cyanosis
R23.1,Pallor
R23.2,Flushing
R23.3,Petechiae
R25.3,Fasciculation
R29.0,Tetany
R29.1,Meningismus
R29.6,Falling
R30.0,Dysuria
R30.0,Strangury
R31,Hematuria
R35,Polyuria
R35.1,Nocturia
R36.1,Hematospermia
R36.9,Urethrorrhea
R40.0,Somnolence
R40.0,Drowsiness
R40.1,Stupor
R40.1,Semicoma
R40.2,Coma
R41.4,Asomatognosia
R41.4,Hemi-akinesia
R41.4,Hemi-inattention
R41.89,Anosognosia
R42,Light-headedness
R43.0,Anosmia
R43.1,Parosmia
R43.2,Parageusia
R45.0,Nervousness
R45.2,Unhappiness
R45.5,Hostility
R45.82,Worries
R45.84,Anhedonia
R45.87,Impulsiveness
R46.3,Overactivity
R47.01,Aphasia
R47.02,Dysphasia
R48.1,Agnosia
R48.1,Autotopagnosia
R48.2,Apraxia
R48.3,Prosopagnosia
R48.8,Acalculia
R48.8,Agraphia
R49.0,Dysphonia
R49.0,Hoarseness
R49.1,Aphonia
R49.21,Hypernasality
R49.22,Hyponasality
R50.84,FNHTR
R51,Headache
R53.1,Weakness
R53.83,Lethargy
R53.83,Tiredness
R54,Frailty
R54,Senescence
R55,Blackout
R55,Fainting
R63.0,Anorexia
R63.1,Polydipsia
R63.2,Polyphagia
R63.6,Underweight
R64,Cachexia
M41,kyphoscoliosis
R71.8,Anisocytosis
R71.8,Poikilocytosis
R73.09,Prediabetes
R78.81,Bacteremia
R80,Proteinuria
R81,Glycosuria
R82.0,Chyluria
R82.1,Myoglobinuria
R82.2,Biliuria
R82.3,Hemoglobinuria
R82.4,Acetonuria
R82.4,Ketonuria
R82.99,Crystalluria
R82.99,Melanuria
F12,marijuana
S06.0,Concussion
S06.0x,Concussion
S12.0,Atlas
S12.1,Axis
S12.8,Larynx
S12.8,Trachea
O03,miscarriage
V19.9,moped
B05,morbilli
V69.9,motorcoach
E84,mucoviscidosis
I42,myocardiopathy
N27,oligonephronia
H80,Otospongiosis
S92.1,Astragalus
T19.9,scalds
B80,oxyuriasis
K64,piles
N08,pyelonephritis
V49.9,minibus
V49.9,minivan
V49.9,truck
V49.9,van
V59.9,motorcoach
V85,digger
V85,earth-leveller
V85,road-roller
A38,scarlatina
B02,shingles
X34,Earthquake
X37.0,Hurricane
X37.0,Typhoon
X37.1,Tornado
X37.1,Cyclone
X37.1,Twister
X37.41,Tsunami
X37.8,Cloudburst
X38,Flood
Y38,Terrorism
B79,trichocephaliasis
B76,uncinariasis
Z59.0,Homelessness
Z63.4,Bereavement
Z65.3,Arrest
Z65.3,Litigation
Z65.3,Prosecution
Z72.5,Promiscuity
Z73.0,Burn-out
Z74.01,Bedridden
Z74.09,Chairridden
